,author_id,created_at,id,text,geo,withheld
19,1292294690155438080,2021-07-01 23:56:48+00:00,1410749258752430081,"تسجيل بالجامعات 
حجز تذاكر قطار او تعديل
حجز موعد مستشفى
حجز موعد لقاح
حجز مدرسه القياده
حساب ابشر
حساب بنك
حساب جداره
حساب قياس
تعريف جوال توكلنا
تحديث العنوان الوطني
حساب التامينات/ساند
تسجيل طالب بنظام نور
حجز مواعيد جميع الدوائر الحكومية

باسعار رمزية تواصل 

 #ليله_الجمعه",,
20,722115112081997824,2021-07-01 23:56:34+00:00,1410749200850030596,"RT @SaudiMOH: بفضل الله أكثر من (18,000,000) جرعة من لقاح كورونا (كوفيد-19) تم إعطائها حتى الآن عبر أكثر من (587) موقع للتطعيم في كافة مناط…",,
21,722478502864359425,2021-07-01 23:56:33+00:00,1410749196651548673,@w98teen @Tw8a3 يقصد اني لقاح كورونا ؟ 🤔,,
22,722115112081997824,2021-07-01 23:56:32+00:00,1410749190737596423,"RT @ENAD_Alotaibi: 📌| بفضل الله..

اليوم .. تم الوصول إلى أكثر من (18,000,000) جرعة من #لقاح_كورونا ، تم إعطائها عبر أكثر من (587) موقع للت…",,
23,1134974107924291584,2021-07-01 23:56:29+00:00,1410749177533853715,"RT @theone1771: @tfrabiah لقاح كورونا لقاح تجريبي ويتم تجربته على البشر
حسبنا الله ونعم الوكيل",,
24,1134974107924291584,2021-07-01 23:56:26+00:00,1410749165089427461,RT @ojkhalifah: @tfrabiah لقاح كورونا كشف لنا خدعة اللقاحات الاخرى,,
25,1134974107924291584,2021-07-01 23:56:11+00:00,1410749105261875205,RT @zi3no: @tfrabiah الأوبئة التي اجتاحت العالم وفتكت بالملايين كانت لها مسببات محددة في أزمنتها في واقع بيئي ملوث ولّد ڤيروسات وبكتيريا سب…,,
26,1206784975280001024,2021-07-01 23:56:11+00:00,1410749101977718794,RT @Mood_kwt: @Al3nziEng كل سلاله تظهر .. يعني لازم تعرف ان وصل لقاح لتطعيم الناس 🙃,,
27,1390018661830758401,2021-07-01 23:55:58+00:00,1410749050027069444,"#ماكو_امتحان_الكتروني_ماكو_لقاح
#ماكو_امتحان_الكتروني_ماكو_لقاح
#ماكو_امتحان_الكتروني_ماكو_لقاح
#ماكو_امتحان_الكتروني_ماكو_لقاح
#ماكو_امتحان_الكتروني_ماكو_لقاح https://t.co/A0hOGMFhTf",,
28,3012603000,2021-07-01 23:55:57+00:00,1410749045325197312,RT @t9v: @tfrabiah لقاح كورونا لم يتم اعتمادة كلقاح امن وفعال يا معالي الوزير الله يصلحك وانت جبته لتجربته علينا وتنفي وتخفي وفياته والان ش…,,
29,1134974107924291584,2021-07-01 23:55:53+00:00,1410749029156147201,"RT @abor_as: @tfrabiah اصراركم واجباركم هو اللي خوف الناس من لقاح كورونا
اما بقية اللقاحات شوفهم هم اللي يروحون ويحجزون ومهتمين بالموضوع",,
30,2276682293,2021-07-01 23:55:44+00:00,1410748992481206276,"RT @SaudiProject: المشرف العام لمركز الملك سلمان للإغاثة:

#السعودية مستعدة لتكون مركزًا إقليميًا لإنتاج لقاح فيروس كورونا https://t.co/5AD…",,
31,1134974107924291584,2021-07-01 23:55:43+00:00,1410748987682869253,"RT @SalehA3ziz: @tfrabiah ايه لقاحات بحثت ودرست لسنوات مهب طلع المرض امس واللقاح قبل الفجر وع طول نشرتوه للناس 
نحبك يامعالي الوزير ونقدر ش…",,
32,1712489600,2021-07-01 23:55:42+00:00,1410748981404045315,"RT @Al3nziEng: اذا كان لقاح كورونا بهذه القدره العجيبه والشركه تمتلك هذه الامكانات من سرعه الاكتشاف والتجربه والدراسه ... 

فأين هي من الام…",,
33,1390018661830758401,2021-07-01 23:55:39+00:00,1410748969848754179,"#ماكو_امتحان_الكتروني_ماكو_لقاح
#ماكو_امتحان_الكتروني_ماكو_لقاح
#ماكو_امتحان_الكتروني_ماكو_لقاح
#ماكو_امتحان_الكتروني_ماكو_لقاح
#ماكو_امتحان_الكتروني_ماكو_لقاح
#ماكو_امتحان_الكتروني_ماكو_لقاح
#ماكو_امتحان_الكتروني_ماكو_لقاح
#ماكو_امتحان_الكتروني_ماكو_لقاح https://t.co/LZCKH4AkSY",,
34,1295755776900898818,2021-07-01 23:55:37+00:00,1410748960168284163,RT @miracle0085: خخخخ حركة ذكية منهم لزيادة المصداقية 😀 اكيد سمعوا عن حجة : ( تصنعون لقاح لمرض ظهر في سنة و ما تعرفون تسوونه لمرض موجود من…,,
