,author_id,created_at,geo,id,text,withheld
23,1046264242750586880,2021-07-30 23:56:15+00:00,,1421258369655001088,RT @mdalwalidi: هذا الموقف حدث معي شخصيا والله يشهد فقد كنت مع طبيب صديق يعمل مع منظمة دولية. حين التقيته وجدته في غاية الغضب. وبعد عناء عر…,
24,1403601261715394562,2021-07-30 23:56:05+00:00,,1421258327070330884,@humanksa123 @rarm2021 @pJwoJI @Alaneed_alsaeed @Shathaljenan @pGfME6QpHqMtpvS @SaudiNews50 @tfrabiah @SaudiMOH https://t.co/kNe2Mi0M36 تخوف من لقاح كورونا للاطفال من مئات الاطباء والاستشاريين  في بريطانيا ، وصفوه بالاخلاقي,
25,3259209920,2021-07-30 23:56:04+00:00,,1421258322443968518,RT @Dr__YAS: أطلب ممن يسمون أنفسهم (مختصين) قبل أن يروجوا للإجبار، أن يذكروا لنا لقاح 💉 واحد فقط (((معتمد))) (وليس مرخص ببند الطوارئ) يستخد…,
26,1376833165545897985,2021-07-30 23:55:59+00:00,,1421258299979313171,@FklBKWJ3ygdb7Qh @SaudiMOH @TawakkalnaApp وعليكم السلام مرحبا بك أستاذة ذكرى ، للاستفسار بخصوص الحصول على لقاح كورونا، فضلا التواصل مع وزارة الصحة ، نتشرف بخدمتكم,
27,1239320919249694720,2021-07-30 23:55:18+00:00,,1421258128809766914,"RT @SaudiNews50: التعليم للمعلمين والمعلمات:

أنتم قدوة للطلاب..بادروا في أخذ لقاح كورونا لتكون العودة للمدراس آمنة.",
28,1244357648318939142,2021-07-30 23:55:10+00:00,,1421258096433893385,"RT @ALAwja_hakrs: الصحة العالمية منافقة ..

الجميع يعلم مدى سوء إدارة الكويت لجائحة
#كورونا و منها رفض المواطنيين تلقى لقاح
أو تطعيم كورونا…",
29,1239320919249694720,2021-07-30 23:55:03+00:00,,1421258065001787396,RT @SaudiNews50: بلغ عدد من تلقوا جرعتي لقاح كورونا في المملكة 7.7 مليون شخص.,
30,1132674936806543360,2021-07-30 23:54:40+00:00,,1421257972366282752,"RT @SaudiNews50: التعليم للمعلمين والمعلمات:

أنتم قدوة للطلاب..بادروا في أخذ لقاح كورونا لتكون العودة للمدراس آمنة.",
31,1363907494612004865,2021-07-30 23:54:34+00:00,,1421257945090830338,@omaralljanabi @jafaralaarajy بعض المرضى اجسامهم ماتتحمل انواع معينه من اللقاح وهاي مسؤلية اللجان الي تنطي اللقاح والشخص المتلقي بالاضافة الى لقاح ڤايزر لازم يتخزن ببرادات خاصة درجة حرارتها لازم ثمانين تحت الصفر وهاي بالعراق ما اعرف اذا عدهم هاي إلامكانية بالتخزين,
32,1201158997824458753,2021-07-30 23:54:24+00:00,,1421257904800292869,"RT @MOE_RYH: اعتباراً من يوم الأحد القادم  22 ذي الحجة الموافق 1 أغسطس... 
أخذ لقاح #كورونا، شرط أساسي للدخول لمقرات #تعليم_الرياض. https:/…",
33,926445373656354816,2021-07-30 23:54:22+00:00,,1421257894260060167,مره مكبرينها ترا لقاح يعني مو شيء يخليك تخضع كذا وع,
34,1330485151894298627,2021-07-30 23:54:19+00:00,,1421257882528530433,"RT @QaisAlazzam3: اذا الامريكان مش متطمنين للقاح وبقولوا اللقاحات مسيسه ورافضين فكرة الأجبار 
وعنا الي بقولك ما بدي اللقاح منصير نسب عليه…",
35,2866501638,2021-07-30 23:54:11+00:00,,1421257849662058497,"RT @3adeeemQ8: من الأحد إلى الخميس
يوجد تطعيم في م جابر الاحمد ج السرة

🛑 ابتداء من الساعة ٨ ص - بوابة ٥.
التطعيم مفتوح للعموم 
يعبي نموذج…",
36,329087028,2021-07-30 23:54:07+00:00,,1421257832515751936,"RT @sha3rq82: الثالثه ثابته 
الشتاء المظلم
لك ان تتخيل في اقل من سنه يستقبل جسمك ٣ جرعات من لقاحات تحت بند الطوارئ وتنتهي تجاربه في ٢٠٢٣ وج…",
37,408763961,2021-07-30 23:54:01+00:00,,1421257807895085064,"@7atota_89 @KidRebellion @DrAlsaeid .
حسبي الله ونعم الوكيل على كل من يفرض قوانين لاجبار الناس تاخذ اللقاح

كل الدول الحياة عندهم طبيعيه
الا دول الخليج!! 
،،،
تأخذ لقاح جرعتين ولا يحميك من المرض والحين بدو بعض الدول بالجرعه الثالثه
،،
وفوق هذا لقاح تجريبي ونشوف له اعراض جانبيه على الناس",
38,2346491785,2021-07-30 23:53:49+00:00,,1421257754887528451,RT @sauditga: #الجمعية_السعودية_للارشاد_السياحي تهيب بمنتسبيها والمرشدين السياحيين والمرشدات السياحيات بالمملكة بضرورة استكمال جرعات لقاح ك…,
39,1055582740576387072,2021-07-30 23:53:19+00:00,,1421257631629467651,"RT @MOE_JZN: غداً | 

افتتاح مركز جديد من مراكز  لقاحات #كورونا كوفيد -19 في ابتدائية الشيخ عيسى الشماخي لتحفيظ القرآن الكريم بمكتب التعليم…",
40,720855961,2021-07-30 23:53:05+00:00,,1421257572846297095,RT @gorgeous4ew: باكستان تهدد بقطع شبكة الهاتف عن الذين يرفضون تلقي لقاح كورونا. https://t.co/uuygkehQlu,
41,908041717022183424,2021-07-30 23:53:05+00:00,,1421257570719879174,"RT @SaudiNews50: التعليم للمعلمين والمعلمات:

أنتم قدوة للطلاب..بادروا في أخذ لقاح كورونا لتكون العودة للمدراس آمنة.",
42,352004499,2021-07-30 23:52:32+00:00,,1421257433318576134,@jovial0601 خويا انا دايما ف مود اكل بطبعي في الصيف خلاص هههههههههههههههه مور لقاح داكشي بقياس بشكل غريب 😂😂😂,
43,1412122537400668162,2021-07-30 23:52:24+00:00,,1421257398526808069,"RT @MOE_SBI: صور  |

استعداداً للعودة الحضورية للمدارس، ووسط جهود متميزة للطواقم الطبية بـ ⁧#جامعة_جازان..

إقبال متزايد على مركز لقاحات ⁧ك…",
44,1180448623223611394,2021-07-30 23:52:19+00:00,,1421257378255675393,@SaudiHodl ام صديقتي توفت رحمها الله بعد اسبوع من اخذها لقاح فايزر بأزمة قلبية مفاجئة,
45,818352278222553090,2021-07-30 23:52:12+00:00,,1421257350044864514,"RT @moe_gov_sa: #فيديو|
معلمونا ومعلماتنا قدوة لطلابهم وطالباتهم في الحصول على لقاح كورونا..
بادر بالتسجيل #لعودة_آمنة إلى مدارسنا. https:/…",
46,2841776576,2021-07-30 23:51:34+00:00,,1421257190225100801,"RT @moe_gov_sa: #فيديو|
معلمونا ومعلماتنا قدوة لطلابهم وطالباتهم في الحصول على لقاح كورونا..
بادر بالتسجيل #لعودة_آمنة إلى مدارسنا. https:/…",
47,1162176699062206470,2021-07-30 23:50:45+00:00,,1421256982955274243,@SFNloubnan راه صيف هذا جوع كيكون قليل. راه ݣلنها لقاح مزيان ها هو اشيط ليك شوية فلوس 😂😂😂,
48,908696085534838789,2021-07-30 23:50:40+00:00,,1421256963095253000,"RT @moe_gov_sa: #فيديو|
معلمونا ومعلماتنا قدوة لطلابهم وطالباتهم في الحصول على لقاح كورونا..
بادر بالتسجيل #لعودة_آمنة إلى مدارسنا. https:/…",
49,4806894025,2021-07-30 23:50:21+00:00,,1421256885941018625,"RT @SaudiNews50: التعليم للمعلمين والمعلمات:

أنتم قدوة للطلاب..بادروا في أخذ لقاح كورونا لتكون العودة للمدراس آمنة.",
50,3313521181,2021-07-30 23:50:16+00:00,,1421256864319393792,@l7009o @SaudiNews50 هههههههههههه برد وسلام وجعله لقاح العافية وحنا بعدك ان شاء الله 👏🏼😅,
51,1400849126003286021,2021-07-30 23:50:00+00:00,,1421256794857431042,ننشر الإجراءات السعودية لاستقبال المعتمرين خلال موسم العمرة المقبل https://t.co/GWIKOMYhQ5 #وزارة_الحج_والعمرة_السعودية #رحلات_العمرة #لقاح_فيروس_كورونا #المعتمرين #الضوابط_الصحية,
52,1241803382035230724,2021-07-30 23:49:56+00:00,,1421256778487042054,RT @Jory_Abdullah: @SaudiNews50 هذا أحد لقاحات كرونا https://t.co/jCiXQTMPl9,
53,455994332,2021-07-30 23:49:43+00:00,,1421256725764747271,السلام عليكم لو سمحتي تسألي وين متوفر لقاح فايزر غير الصالة الخضراء ومعارض الظهران لأنها ما تطلع ب صحتي #لقاح1,
54,410892766,2021-07-30 23:49:41+00:00,,1421256718147801093,"RT @SaudiNews50: التعليم للمعلمين والمعلمات:

أنتم قدوة للطلاب..بادروا في أخذ لقاح كورونا لتكون العودة للمدراس آمنة.",
55,2256207373,2021-07-30 23:49:34+00:00,,1421256687948808195,"RT @moe_gov_sa: #فيديو|
معلمونا ومعلماتنا قدوة لطلابهم وطالباتهم في الحصول على لقاح كورونا..
بادر بالتسجيل #لعودة_آمنة إلى مدارسنا. https:/…",
56,1200554119913754624,2021-07-30 23:49:24+00:00,,1421256645800337415,RT @Dr__YAS: أطلب ممن يسمون أنفسهم (مختصين) قبل أن يروجوا للإجبار، أن يذكروا لنا لقاح 💉 واحد فقط (((معتمد))) (وليس مرخص ببند الطوارئ) يستخد…,
57,255935216,2021-07-30 23:49:21+00:00,,1421256633192263681,"RT @akhbarelyom: ساويرس يطالب الصحة بتطعيم جميع المواطنين بـ«لقاح كورونا» قبل الشتاء
https://t.co/uBBqnU9iDK https://t.co/3knbr3bOtr",
58,4707760480,2021-07-30 23:49:20+00:00,,1421256627936768008,RT @hassanh20881712: تخيل لو ان ميسي او  رونالدو  اصيبا  بسبب لقاح كورونا؟  بطلة الجمباز simone biles  اشهر في امريكا منهما خاصة وان الاولم…,
59,1267922021045936131,2021-07-30 23:49:15+00:00,,1421256607569174531,@new_2035 @arenom7 @Wa5ZaT انه بعد شفت خبر احتمال يكون تطعيم كورونا من ضمن التطعيمات الدورية للطلبة من بإسم ثان لا من شاف ولا من درى.,
60,3145298919,2021-07-30 23:49:07+00:00,,1421256575789015042,#الجمعية_السعودية_للارشاد_السياحي تحث منسوبيها والمرشدين السياحيين والمرشدات السياحيات بضرورة استكمال جرعات لقاح كورونا..👌 https://t.co/95F2Y9Y2Wd,
61,2800477796,2021-07-30 23:49:06+00:00,,1421256568385982468,"RT @MOE_JZN: غداً | 

افتتاح مركز جديد من مراكز  لقاحات #كورونا كوفيد -19 في ابتدائية الشيخ عيسى الشماخي لتحفيظ القرآن الكريم بمكتب التعليم…",
62,58443692,2021-07-30 23:49:02+00:00,,1421256551751356425,"اليوم السافل ناشرة نفس الخبر بتفاصيل زيادة 
https://t.co/96B0PvZX05
#لقاح_كورونا",
63,58443692,2021-07-30 23:49:01+00:00,,1421256548819640323,"ده حتي العام الدراسي مش مخلين الولاد يروحوا بالتناوب مع العلم ان الكثافات عالية سواء في العام او الخاص مدارس وجامعات ..
عك كبييييير والله وحاجة تقرف .. ربنا يستر :(
#لقاح_كورونا",
64,58443692,2021-07-30 23:49:01+00:00,,1421256547217326081,"هوجة الأرقام دي في النهاية محصلتها ايه ؟ انه بيقولك في الخبر ( لإنعاش عملية التطعيمات قبل بداية الموجة الرابعة للفيروس المتوقعة خلال سبتمبر المقبل.) 
اللي هو احنا طعمنا 80% من الشعب وكله زي الفل :)
ومفيش اغلاقات تانية ... ولا حتي احتياطات ..  #لقاح_كورونا",
