,sentiment,city,country,region
15260,neutral,Salt,Saudi Arabia,Gulf
15261,neutral,Riyadh,Saudi Arabia,Gulf
15262,neutral,Riyadh,Saudi Arabia,Gulf
15263,neutral,Jeddha,Saudi Arabia,Gulf
15264,neutral,Riyadh,Saudi Arabia,Gulf
15265,neutral,Jeddha,Saudi Arabia,Gulf
15266,neutral,Riyadh,Saudi Arabia,Gulf
15267,neutral,Jeddha,Saudi Arabia,Gulf
15268,neutral,Jeddha,Saudi Arabia,Gulf
15269,neutral,Jeddha,Saudi Arabia,Gulf
15270,neutral,Jeddha,Saudi Arabia,Gulf
15271,neutral,Jeddha,Saudi Arabia,Gulf
15272,neutral,Jeddha,Saudi Arabia,Gulf
15273,neutral,Jeddha,Saudi Arabia,Gulf
15274,neutral,Jeddha,Saudi Arabia,Gulf
15275,neutral,Jeddha,Saudi Arabia,Gulf
15276,neutral,Jeddha,Saudi Arabia,Gulf
15277,neutral,Jeddha,Saudi Arabia,Gulf
15278,neutral,Jeddha,Saudi Arabia,Gulf
15279,neutral,Riyadh,Saudi Arabia,Gulf
15280,negative,Salt,Saudi Arabia,Gulf
15281,negative,Salt,Saudi Arabia,Gulf
15282,negative,Salt,Saudi Arabia,Gulf
15283,neutral,Riyadh,Saudi Arabia,Gulf
15284,neutral,Salt,Jordan,Levant
15285,neutral,Riyadh,Saudi Arabia,Gulf
15286,negative,Salt,Saudi Arabia,Gulf
15287,neutral,Jeddha,Saudi Arabia,Gulf
15288,neutral,Jeddha,Saudi Arabia,Gulf
15289,neutral,Jeddha,Saudi Arabia,Gulf
15290,neutral,Jeddha,Saudi Arabia,Gulf
15291,neutral,Jeddha,Saudi Arabia,Gulf
15292,neutral,Jeddha,Saudi Arabia,Gulf
15293,neutral,Jeddha,Saudi Arabia,Gulf
15294,neutral,Riyadh,Saudi Arabia,Gulf
15295,neutral,Jeddha,Saudi Arabia,Gulf
15296,positive,Riyadh,Saudi Arabia,Gulf
15297,neutral,Riyadh,Saudi Arabia,Gulf
